Item Identifier,Item Type,Item Fat Content,Item Weight,Item Visibility,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating
FDB15,Dairy,Low Fat,10.9,0.136785,OUT035,2017,Small,Tier 2,Supermarket Type1,265.26,4.3
FDW50,Dairy,Low Fat,13.1,0.075564,OUT035,2017,Small,Tier 2,Supermarket Type1,168.12,4.3
FDA50,Dairy,Low Fat,16.25,0.087159,OUT035,2017,Small,Tier 2,Supermarket Type1,95.14,4.3
FDN40,Frozen Foods,Low Fat,5.88,0.08644,OUT035,2017,Small,Tier 2,Supermarket Type1,155.4,4.3
FDS52,Frozen Foods,Low Fat,8.89,0.005473,OUT035,2017,Small,Tier 2,Supermarket Type1,100.5,4.3
FDB08,Fruits and Vegetables,Low Fat,6.06,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,162.36,4.3
FDO32,Fruits and Vegetables,Low Fat,6.36,0.120521,OUT035,2017,Small,Tier 2,Supermarket Type1,45.91,4.3
FDC56,Fruits and Vegetables,Low Fat,7.72,0.121498,OUT035,2017,Small,Tier 2,Supermarket Type1,119.74,4.3
FDD08,Fruits and Vegetables,Low Fat,8.3,0.035348,OUT035,2017,Small,Tier 2,Supermarket Type1,38.05,4.3
FDC20,Fruits and Vegetables,Low Fat,10.65,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,57.13,4.3
FDL08,Fruits and Vegetables,Low Fat,10.8,0.04971,OUT035,2017,Small,Tier 2,Supermarket Type1,246.81,4.3
FDS43,Fruits and Vegetables,Low Fat,11.65,0.040507,OUT035,2017,Small,Tier 2,Supermarket Type1,186.92,4.3
FDT08,Fruits and Vegetables,Low Fat,13.65,0.049209,OUT035,2017,Small,Tier 2,Supermarket Type1,150.0,4.3
DRQ35,Hard Drinks,Low Fat,9.3,0.042283,OUT035,2017,Small,Tier 2,Supermarket Type1,125.44,4.3
DRP35,Hard Drinks,Low Fat,18.85,0.09085,OUT035,2017,Small,Tier 2,Supermarket Type1,126.63,4.3
NCM05,Health and Hygiene,Low Fat,6.82,0.059836,OUT035,2017,Small,Tier 2,Supermarket Type1,264.32,4.3
NCX05,Health and Hygiene,Low Fat,15.2,0.097044,OUT035,2017,Small,Tier 2,Supermarket Type1,116.85,4.3
NCW41,Health and Hygiene,Low Fat,18.0,0.015447,OUT035,2017,Small,Tier 2,Supermarket Type1,159.26,4.3
NCV18,Household,Low Fat,6.78,0.105226,OUT035,2017,Small,Tier 2,Supermarket Type1,84.22,4.3
NCS06,Household,Low Fat,7.94,0.031731,OUT035,2017,Small,Tier 2,Supermarket Type1,261.09,4.3
NCN18,Household,Low Fat,8.9,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,111.95,4.3
NCU42,Household,Low Fat,9.0,0.019503,OUT035,2017,Small,Tier 2,Supermarket Type1,169.45,4.3
NCN30,Household,Low Fat,16.35,0.01699,OUT035,2017,Small,Tier 2,Supermarket Type1,98.54,4.3
NCL18,Household,Low Fat,18.85,0.167552,OUT035,2017,Small,Tier 2,Supermarket Type1,193.11,4.3
FDK55,Meat,Low Fat,18.5,0.025757,OUT035,2017,Small,Tier 2,Supermarket Type1,87.22,4.3
FDN27,Meat,Low Fat,20.85,0.039555,OUT035,2017,Small,Tier 2,Supermarket Type1,116.88,4.3
FDJ45,Seafood,Low Fat,17.75,0.073397,OUT035,2017,Small,Tier 2,Supermarket Type1,35.12,4.3
FDT21,Snack Foods,Low Fat,7.42,0.020388,OUT035,2017,Small,Tier 2,Supermarket Type1,247.11,4.3
FDC58,Snack Foods,Low Fat,10.2,0.041934,OUT035,2017,Small,Tier 2,Supermarket Type1,44.64,4.3
FDH33,Snack Foods,Low Fat,12.85,0.121702,OUT035,2017,Small,Tier 2,Supermarket Type1,42.74,4.3
FDE46,Snack Foods,Low Fat,18.6,0.015767,OUT035,2017,Small,Tier 2,Supermarket Type1,152.94,4.3
FDO58,Snack Foods,Low Fat,19.6,0.03957,OUT035,2017,Small,Tier 2,Supermarket Type1,165.95,4.3
DRJ13,Soft Drinks,Low Fat,12.65,0.062878,OUT035,2017,Small,Tier 2,Supermarket Type1,160.96,4.3
DRI49,Soft Drinks,Low Fat,14.15,0.183473,OUT035,2017,Small,Tier 2,Supermarket Type1,82.03,4.3
DRH25,Soft Drinks,Low Fat,18.7,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,52.23,4.3
FDY24,Baking Goods,Regular,4.88,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,53.13,4.3
FDP01,Breakfast,Regular,20.75,0.063314,OUT035,2017,Small,Tier 2,Supermarket Type1,153.77,4.3
FDI50,Canned,Regular,8.42,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,229.04,4.3
FDB02,Canned,Regular,9.7,0.029159,OUT035,2017,Small,Tier 2,Supermarket Type1,174.54,4.3
FDH50,Canned,Regular,15.0,0.161405,OUT035,2017,Small,Tier 2,Supermarket Type1,185.83,4.3
FDW38,Dairy,Regular,5.32,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,55.83,4.3
FDQ26,Dairy,Regular,13.5,0.06786,OUT035,2017,Small,Tier 2,Supermarket Type1,60.16,4.3
FDB03,Dairy,Regular,17.75,0.156802,OUT035,2017,Small,Tier 2,Supermarket Type1,242.15,4.3
FDV16,Frozen Foods,Regular,7.75,0.082915,OUT035,2017,Small,Tier 2,Supermarket Type1,34.96,4.3
FDC29,Frozen Foods,Regular,8.39,0.024202,OUT035,2017,Small,Tier 2,Supermarket Type1,112.62,4.3
FDG41,Frozen Foods,Regular,8.84,0.076548,OUT035,2017,Small,Tier 2,Supermarket Type1,109.52,4.3
FDN04,Frozen Foods,Regular,11.8,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,179.23,4.3
FDH17,Frozen Foods,Regular,16.2,0.01665,OUT035,2017,Small,Tier 2,Supermarket Type1,97.47,4.3
FDZ16,Frozen Foods,Regular,16.85,0.159826,OUT035,2017,Small,Tier 2,Supermarket Type1,195.55,4.3
FDD21,Fruits and Vegetables,Regular,10.3,0.030563,OUT035,2017,Small,Tier 2,Supermarket Type1,114.42,4.3
FDT55,Fruits and Vegetables,Regular,13.6,0.043647,OUT035,2017,Small,Tier 2,Supermarket Type1,155.79,4.3
FDO19,Fruits and Vegetables,Regular,17.7,0.016594,OUT035,2017,Small,Tier 2,Supermarket Type1,46.9,4.3
FDS32,Fruits and Vegetables,Regular,17.75,0.029648,OUT035,2017,Small,Tier 2,Supermarket Type1,142.48,4.3
FDN39,Meat,Regular,19.35,0.065508,OUT035,2017,Small,Tier 2,Supermarket Type1,168.98,4.3
FDU33,Snack Foods,Regular,7.63,0.134684,OUT035,2017,Small,Tier 2,Supermarket Type1,47.04,4.3
FDM57,Snack Foods,Regular,11.65,0.075835,OUT035,2017,Small,Tier 2,Supermarket Type1,82.99,4.3
FDW46,Snack Foods,Regular,13.0,0.070288,OUT035,2017,Small,Tier 2,Supermarket Type1,64.35,4.3
FDL09,Snack Foods,Regular,19.6,0.128012,OUT035,2017,Small,Tier 2,Supermarket Type1,166.88,4.3
FDD10,Snack Foods,Regular,20.6,0.0,OUT035,2017,Small,Tier 2,Supermarket Type1,178.13,4.3
DRB13,Soft Drinks,Regular,6.12,0.007043,OUT035,2017,Small,Tier 2,Supermarket Type1,190.35,4.3
DRN37,Soft Drinks,Low Fat,9.6,0.096279,OUT035,2017,Small,Tier 2,Supermarket Type1,167.32,4.3
FDC10,Snack Foods,Regular,9.8,0.072864,OUT035,2017,Small,Tier 2,Supermarket Type1,118.61,4.3
DRH59,Hard Drinks,Low Fat,10.8,0.097806,OUT010,2011,Medium,Tier 3,Grocery Store,73.94,4.3
FDN12,Baking Goods,Low Fat,15.6,0.135751,OUT010,2011,Medium,Tier 3,Grocery Store,111.55,4.3
FDO60,Baking Goods,Low Fat,20.0,0.057528,OUT010,2011,Medium,Tier 3,Grocery Store,43.11,4.3
FDP11,Breads,Low Fat,15.85,0.11566,OUT010,2011,Medium,Tier 3,Grocery Store,218.32,4.3
FDT04,Frozen Foods,Low Fat,17.25,0.0,OUT010,2011,Medium,Tier 3,Grocery Store,37.58,4.3
FDG45,Fruits and Vegetables,Low Fat,8.1,0.214306,OUT010,2011,Medium,Tier 3,Grocery Store,213.99,4.3
FDA32,Fruits and Vegetables,Low Fat,14.0,0.050372,OUT010,2011,Medium,Tier 3,Grocery Store,214.72,4.3
FDR43,Fruits and Vegetables,Low Fat,18.2,0.2703,OUT010,2011,Medium,Tier 3,Grocery Store,38.32,4.3
FDB32,Fruits and Vegetables,Low Fat,20.6,0.039255,OUT010,2011,Medium,Tier 3,Grocery Store,94.48,4.3
DRG11,Hard Drinks,Low Fat,6.38,0.140328,OUT010,2011,Medium,Tier 3,Grocery Store,109.16,4.3
NCN41,Health and Hygiene,Low Fat,17.0,0.087388,OUT010,2011,Medium,Tier 3,Grocery Store,125.07,4.3
NCP02,Household,Low Fat,7.1,0.075001,OUT010,2011,Medium,Tier 3,Grocery Store,61.06,4.3
NCT30,Household,Low Fat,9.1,0.134394,OUT010,2011,Medium,Tier 3,Grocery Store,48.07,4.3
NCR42,Household,Low Fat,9.1,0.064411,OUT010,2011,Medium,Tier 3,Grocery Store,33.39,4.3
NCE43,Household,Low Fat,12.5,0.173141,OUT010,2011,Medium,Tier 3,Grocery Store,168.44,4.3
NCD55,Household,Low Fat,14.0,0.040725,OUT010,2011,Medium,Tier 3,Grocery Store,43.45,4.3
FDR46,Snack Foods,Low Fat,16.85,0.233357,OUT010,2011,High,Tier 3,Grocery Store,146.58,4.3
FDH35,Starchy Foods,Low Fat,18.25,0.100844,OUT010,2011,High,Tier 3,Grocery Store,166.35,4.3
FDB49,Baking Goods,Regular,8.3,0.050467,OUT010,2011,High,Tier 3,Grocery Store,97.64,4.3
FDY12,Baking Goods,Regular,9.8,0.235354,OUT010,2011,High,Tier 3,Grocery Store,50.8,4.3
FDT11,Breads,Regular,5.94,0.049163,OUT010,2011,High,Tier 3,Grocery Store,186.46,4.3
FDR59,Breads,Regular,14.5,0.106894,OUT010,2011,High,Tier 3,Grocery Store,260.46,4.3
FDG38,Canned,Regular,8.98,0.088258,OUT010,2011,High,Tier 3,Grocery Store,84.12,4.3
FDW26,Dairy,Regular,11.8,0.179192,OUT010,2011,High,Tier 3,Grocery Store,224.28,4.3
FDK03,Dairy,Regular,12.6,0.123728,OUT010,2011,High,Tier 3,Grocery Store,253.04,4.3
FDQ40,Frozen Foods,Regular,11.1,0.060303,OUT010,2011,High,Tier 3,Grocery Store,175.87,4.3
FDR52,Frozen Foods,Regular,12.65,0.127283,OUT010,2011,High,Tier 3,Grocery Store,191.78,4.3
FDO08,Fruits and Vegetables,Regular,11.1,0.090009,OUT010,2011,High,Tier 3,Grocery Store,164.05,4.3
FDW55,Fruits and Vegetables,Regular,12.6,0.036773,OUT010,2011,High,Tier 3,Grocery Store,250.31,4.3
FDC09,Fruits and Vegetables,Regular,15.5,0.044024,OUT010,2011,High,Tier 3,Grocery Store,102.03,4.3
FDS32,Fruits and Vegetables,Regular,17.75,0.049635,OUT010,2011,High,Tier 3,Grocery Store,140.28,4.3
FDV20,Fruits and Vegetables,Regular,20.2,0.100095,OUT010,2011,High,Tier 3,Grocery Store,125.27,4.3
FDS15,Meat,Regular,9.2,0.130657,OUT010,2011,High,Tier 3,Grocery Store,106.46,4.3
FDZ51,Meat,Regular,11.3,0.09131,OUT010,2011,High,Tier 3,Grocery Store,96.91,4.3
FDU58,Snack Foods,Regular,6.61,0.04856,OUT010,2011,High,Tier 3,Grocery Store,188.49,4.3
FDQ45,Snack Foods,Regular,9.5,0.0,OUT010,2011,High,Tier 3,Grocery Store,182.36,4.3
FDU46,Snack Foods,Regular,10.3,0.018623,OUT010,2011,High,Tier 3,Grocery Store,87.85,4.3
FDR48,Baking Goods,Low Fat,11.65,0.131395,OUT013,2014,High,Tier 3,Supermarket Type1,151.9,4.3
FDW47,Breads,Low Fat,15.0,0.046337,OUT013,2014,High,Tier 3,Supermarket Type1,120.04,4.3
FDP37,Breakfast,Low Fat,15.6,0.142987,OUT013,2014,High,Tier 3,Supermarket Type1,130.4,4.3
FDG50,Canned,Low Fat,7.4,0.015259,OUT013,2014,High,Tier 3,Supermarket Type1,91.01,4.3
FDT37,Canned,Low Fat,14.15,0.035241,OUT013,2014,High,Tier 3,Supermarket Type1,255.5,4.3
FDA13,Canned,Low Fat,15.85,0.07849,OUT013,2014,High,Tier 3,Supermarket Type1,39.95,4.3
FDP26,Dairy,Low Fat,7.78,0.139437,OUT013,2014,High,Tier 3,Supermarket Type1,103.03,4.3
FDZ15,Dairy,Low Fat,13.1,0.020853,OUT013,2014,High,Tier 3,Supermarket Type1,117.48,4.3
FDD03,Dairy,Low Fat,13.3,0.07974,OUT013,2014,High,Tier 3,Supermarket Type1,233.03,4.3
DRF03,Dairy,Low Fat,19.1,0.04527,OUT013,2014,High,Tier 3,Supermarket Type1,38.81,4.3
FDH16,Frozen Foods,Low Fat,10.5,0.052512,OUT013,2014,High,Tier 3,Supermarket Type1,90.78,4.3
FDD29,Frozen Foods,Low Fat,12.15,0.018395,OUT013,2014,High,Tier 3,Supermarket Type1,251.67,4.3
FDL40,Frozen Foods,Low Fat,17.7,0.011603,OUT013,2014,High,Tier 3,Supermarket Type1,97.74,4.3
FDY31,Fruits and Vegetables,Low Fat,5.98,0.043527,OUT013,2014,High,Tier 3,Supermarket Type1,148.44,4.3
FDO32,Fruits and Vegetables,Low Fat,6.36,0.120443,OUT013,2014,High,Tier 3,Supermarket Type1,45.41,4.3
FDG32,Fruits and Vegetables,Low Fat,19.85,0.175849,OUT013,2014,High,Tier 3,Supermarket Type1,222.08,4.3
NCP29,Health and Hygiene,Low Fat,8.42,0.112178,OUT013,2014,High,Tier 3,Supermarket Type1,65.92,4.3
NCS29,Health and Hygiene,Low Fat,9.0,0.069488,OUT013,2014,High,Tier 3,Supermarket Type1,266.69,4.3
NCB06,Health and Hygiene,Low Fat,17.6,0.082264,OUT013,2014,High,Tier 3,Supermarket Type1,160.49,4.3
NCQ53,Health and Hygiene,Low Fat,17.6,0.01889,OUT013,2014,High,Tier 3,Supermarket Type1,236.26,4.3
NCW53,Health and Hygiene,Low Fat,18.35,0.03047,OUT013,2014,High,Tier 3,Supermarket Type1,191.32,4.3
NCZ30,Household,Low Fat,6.59,0.026163,OUT013,2014,High,Tier 3,Supermarket Type1,121.51,4.3
NCA29,Household,Low Fat,10.5,0.027254,OUT013,2014,High,Tier 3,Supermarket Type1,170.91,4.3
NCN26,Household,Low Fat,10.85,0.0,OUT013,2014,High,Tier 3,Supermarket Type1,119.08,4.3
NCJ18,Household,Low Fat,12.35,0.163806,OUT013,2014,High,Tier 3,Supermarket Type1,117.61,4.3
NCS18,Household,Low Fat,12.65,0.042176,OUT013,2014,High,Tier 3,Supermarket Type1,106.49,4.3
NCG06,Household,Low Fat,16.35,0.029421,OUT013,2014,High,Tier 3,Supermarket Type1,256.96,4.3
NCX30,Household,Low Fat,16.7,0.026598,OUT013,2014,High,Tier 3,Supermarket Type1,245.88,4.3
NCT06,Household,Low Fat,17.1,0.038705,OUT013,2014,High,Tier 3,Supermarket Type1,165.08,4.3
NCF18,Household,Low Fat,18.35,0.088909,OUT013,2014,High,Tier 3,Supermarket Type1,192.85,4.3
NCB18,Household,Low Fat,19.6,0.041257,OUT013,2014,High,Tier 3,Supermarket Type1,88.85,4.3
NCJ06,Household,Low Fat,20.1,0.034624,OUT013,2014,High,Tier 3,Supermarket Type1,118.98,4.3
NCA06,Household,Low Fat,20.5,0.143164,OUT013,2014,High,Tier 3,Supermarket Type1,34.92,4.3
NCE42,Household,Low Fat,21.1,0.010593,OUT013,2014,High,Tier 3,Supermarket Type1,234.3,4.3
NCP55,Others,Low Fat,14.65,0.011181,OUT013,2014,High,Tier 3,Supermarket Type1,53.86,4.3
FDI57,Seafood,Low Fat,19.85,0.053981,OUT013,2014,High,Tier 3,Supermarket Type1,196.88,4.3
FDZ33,Snack Foods,Low Fat,10.2,0.107308,OUT013,2014,High,Tier 3,Supermarket Type1,149.81,4.3
FDT45,Snack Foods,Low Fat,15.85,0.0,OUT013,2014,High,Tier 3,Supermarket Type1,55.2,4.3
FDV46,Snack Foods,Low Fat,18.2,0.012597,OUT013,2014,High,Tier 3,Supermarket Type1,141.22,4.3
FDM10,Snack Foods,Low Fat,18.25,0.075908,OUT013,2014,High,Tier 3,Supermarket Type1,213.42,4.3
DRD37,Soft Drinks,Low Fat,9.8,0.01383,OUT013,2014,High,Tier 3,Supermarket Type1,45.31,4.3
DRG01,Soft Drinks,Low Fat,14.8,0.044841,OUT013,2014,High,Tier 3,Supermarket Type1,78.37,4.3
FDF35,Starchy Foods,Low Fat,15.0,0.153861,OUT013,2014,High,Tier 3,Supermarket Type1,108.59,4.3
FDT12,Baking Goods,Regular,6.22,0.04958,OUT013,2014,High,Tier 3,Supermarket Type1,227.41,4.3
FDZ59,Baking Goods,Regular,6.63,0.103935,OUT013,2014,High,Tier 3,Supermarket Type1,166.85,4.3
FDY11,Baking Goods,Regular,6.71,0.029536,OUT013,2014,High,Tier 3,Supermarket Type1,67.51,4.3
FDI48,Baking Goods,Regular,11.85,0.055672,OUT013,2014,High,Tier 3,Supermarket Type1,50.57,4.3
FDY47,Breads,Regular,8.6,0.054439,OUT013,2014,High,Tier 3,Supermarket Type1,128.83,4.3
FDR59,Breads,Regular,14.5,0.06381,OUT013,2014,High,Tier 3,Supermarket Type1,263.26,4.3
FDY01,Canned,Regular,11.8,0.170142,OUT013,2014,High,Tier 3,Supermarket Type1,116.78,4.3
FDV04,Frozen Foods,Regular,7.82,0.14989,OUT013,2014,High,Tier 3,Supermarket Type1,159.03,4.3
FDR52,Frozen Foods,Regular,12.65,0.075981,OUT013,2014,High,Tier 3,Supermarket Type1,192.38,4.3
FDH17,Frozen Foods,Regular,16.2,0.016639,OUT013,2014,High,Tier 3,Supermarket Type1,95.87,4.3
FDE17,Frozen Foods,Regular,20.1,0.05441,OUT013,2014,High,Tier 3,Supermarket Type1,151.34,4.3
FDA07,Fruits and Vegetables,Regular,7.55,0.030919,OUT013,2014,High,Tier 3,Supermarket Type1,123.91,4.3
FDE20,Fruits and Vegetables,Regular,11.35,0.005526,OUT013,2014,High,Tier 3,Supermarket Type1,168.28,4.3
FDK20,Fruits and Vegetables,Regular,12.6,0.041523,OUT013,2014,High,Tier 3,Supermarket Type1,124.31,4.3
FDA55,Fruits and Vegetables,Regular,17.2,0.056942,OUT013,2014,High,Tier 3,Supermarket Type1,222.51,4.3
FDW07,Fruits and Vegetables,Regular,18.0,0.14257,OUT013,2014,High,Tier 3,Supermarket Type1,88.25,4.3
FDW32,Fruits and Vegetables,Regular,18.35,0.094218,OUT013,2014,High,Tier 3,Supermarket Type1,83.99,4.3
FDC08,Fruits and Vegetables,Regular,19.0,0.103364,OUT013,2014,High,Tier 3,Supermarket Type1,226.17,4.3
FDM51,Meat,Regular,11.8,0.025905,OUT013,2014,High,Tier 3,Supermarket Type1,102.47,4.3
FDR27,Meat,Regular,15.1,0.09602,OUT013,2014,High,Tier 3,Supermarket Type1,133.79,4.3
FDJ10,Snack Foods,Regular,5.1,0.129396,OUT013,2014,High,Tier 3,Supermarket Type1,140.38,4.3
FDK10,Snack Foods,Regular,5.78,0.040325,OUT013,2014,High,Tier 3,Supermarket Type1,180.47,4.3
FDL57,Snack Foods,Regular,15.1,0.067021,OUT013,2014,High,Tier 3,Supermarket Type1,260.33,4.3
FDN34,Snack Foods,Regular,15.6,0.0,OUT013,2014,High,Tier 3,Supermarket Type1,170.61,4.3
FDC34,Snack Foods,Regular,16.0,0.172615,OUT013,2014,High,Tier 3,Supermarket Type1,154.6,4.3
DRB13,Soft Drinks,Regular,6.12,0.007038,OUT013,2014,High,Tier 3,Supermarket Type1,189.25,4.3
DRZ11,Soft Drinks,Regular,8.85,0.112571,OUT013,2014,High,Tier 3,Supermarket Type1,122.04,4.3
DRL01,Soft Drinks,Regular,19.5,0.077108,OUT013,2014,High,Tier 3,Supermarket Type1,232.9,4.3
FDN09,Snack Foods,Low Fat,14.15,0.035017,OUT018,2022,Medium,Tier 3,Supermarket Type2,245.38,4.3
DRD25,Soft Drinks,Low Fat,6.14,0.079294,OUT018,2022,Medium,Tier 3,Supermarket Type2,111.29,4.3
FDH48,Baking Goods,Low Fat,13.5,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,84.55,4.3
FDL36,Baking Goods,Low Fat,15.1,0.076385,OUT018,2022,Medium,Tier 3,Supermarket Type2,88.48,4.3
FDZ48,Baking Goods,Low Fat,17.75,0.076269,OUT018,2022,Medium,Tier 3,Supermarket Type2,113.15,4.3
FDO60,Baking Goods,Low Fat,20.0,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,43.41,4.3
FDK38,Canned,Low Fat,6.65,0.053507,OUT018,2022,Medium,Tier 3,Supermarket Type2,150.07,4.3
DRG27,Dairy,Low Fat,8.9,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,42.01,4.3
DRF27,Dairy,Low Fat,8.93,0.028533,OUT018,2022,Medium,Tier 3,Supermarket Type2,151.43,4.3
FDB15,Dairy,Low Fat,10.9,0.137368,OUT018,2022,Medium,Tier 3,Supermarket Type2,264.36,4.3
DRE03,Dairy,Low Fat,19.6,0.024326,OUT018,2022,Medium,Tier 3,Supermarket Type2,48.57,4.3
FDL16,Frozen Foods,Low Fat,12.85,0.169139,OUT018,2022,Medium,Tier 3,Supermarket Type2,46.41,4.3
FDF05,Frozen Foods,Low Fat,17.5,0.02698,OUT018,2022,Medium,Tier 3,Supermarket Type2,262.59,4.3
FDB21,Fruits and Vegetables,Low Fat,7.48,0.149126,OUT018,2022,Medium,Tier 3,Supermarket Type2,241.69,4.3
FDD09,Fruits and Vegetables,Low Fat,13.5,0.021584,OUT018,2022,Medium,Tier 3,Supermarket Type2,179.6,4.3
FDG57,Fruits and Vegetables,Low Fat,14.7,0.072593,OUT018,2022,Medium,Tier 3,Supermarket Type2,48.5,4.3
FDX19,Fruits and Vegetables,Low Fat,19.1,0.097128,OUT018,2022,Medium,Tier 3,Supermarket Type2,234.5,4.3
DRQ35,Hard Drinks,Low Fat,9.3,0.042464,OUT018,2022,Medium,Tier 3,Supermarket Type2,121.94,4.3
NCP29,Health and Hygiene,Low Fat,8.42,0.112728,OUT018,2022,Medium,Tier 3,Supermarket Type2,65.82,4.3
NCR53,Health and Hygiene,Low Fat,12.15,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,224.44,4.3
NCQ53,Health and Hygiene,Low Fat,17.6,0.018982,OUT018,2022,Medium,Tier 3,Supermarket Type2,237.06,4.3
NCT42,Household,Low Fat,5.88,0.024989,OUT018,2022,Medium,Tier 3,Supermarket Type2,150.34,4.3
NCT30,Household,Low Fat,9.1,0.08062,OUT018,2022,Medium,Tier 3,Supermarket Type2,47.47,4.3
NCI06,Household,Low Fat,11.3,0.047912,OUT018,2022,Medium,Tier 3,Supermarket Type2,179.87,4.3
NCK30,Household,Low Fat,14.85,0.061227,OUT018,2022,Medium,Tier 3,Supermarket Type2,253.07,4.3
NCW06,Household,Low Fat,16.2,0.050546,OUT018,2022,Medium,Tier 3,Supermarket Type2,191.62,4.3
NCI42,Household,Low Fat,18.75,0.010408,OUT018,2022,Medium,Tier 3,Supermarket Type2,209.5,4.3
NCV30,Household,Low Fat,20.2,0.066201,OUT018,2022,Medium,Tier 3,Supermarket Type2,61.45,4.3
NCP06,Household,Low Fat,20.7,0.039406,OUT018,2022,Medium,Tier 3,Supermarket Type2,149.84,4.3
FDN15,Meat,Low Fat,17.5,0.016802,OUT018,2022,Medium,Tier 3,Supermarket Type2,138.52,4.3
NCN19,Others,Low Fat,13.1,0.012149,OUT018,2022,Medium,Tier 3,Supermarket Type2,191.35,4.3
FDX21,Snack Foods,Low Fat,7.05,0.085312,OUT018,2022,Medium,Tier 3,Supermarket Type2,107.49,4.3
FDT58,Snack Foods,Low Fat,9.0,0.086305,OUT018,2022,Medium,Tier 3,Supermarket Type2,168.08,4.3
FDT22,Snack Foods,Low Fat,10.4,0.112554,OUT018,2022,Medium,Tier 3,Supermarket Type2,59.02,4.3
FDY45,Snack Foods,Low Fat,17.5,0.026249,OUT018,2022,Medium,Tier 3,Supermarket Type2,255.14,4.3
FDU34,Snack Foods,Low Fat,18.25,0.075501,OUT018,2022,Medium,Tier 3,Supermarket Type2,123.1,4.3
FDN21,Snack Foods,Low Fat,18.6,0.077169,OUT018,2022,Medium,Tier 3,Supermarket Type2,160.62,4.3
FDO58,Snack Foods,Low Fat,19.6,0.039738,OUT018,2022,Medium,Tier 3,Supermarket Type2,163.75,4.3
DRG49,Soft Drinks,Low Fat,7.81,0.06773,OUT018,2022,Medium,Tier 3,Supermarket Type2,242.65,4.3
DRE48,Soft Drinks,Low Fat,8.43,0.017396,OUT018,2022,Medium,Tier 3,Supermarket Type2,196.08,4.3
DRI49,Soft Drinks,Low Fat,14.15,0.184255,OUT018,2022,Medium,Tier 3,Supermarket Type2,82.43,4.3
DRD13,Soft Drinks,Low Fat,15.0,0.049279,OUT018,2022,Medium,Tier 3,Supermarket Type2,65.72,4.3
DRI37,Soft Drinks,Low Fat,15.85,0.108036,OUT018,2022,Medium,Tier 3,Supermarket Type2,57.39,4.3
DRG13,Soft Drinks,Low Fat,17.25,0.037338,OUT018,2022,Medium,Tier 3,Supermarket Type2,163.75,4.3
FDX48,Baking Goods,Regular,17.75,0.038042,OUT018,2022,Medium,Tier 3,Supermarket Type2,154.27,4.3
FDX47,Breads,Regular,6.55,0.034745,OUT018,2022,Medium,Tier 3,Supermarket Type2,158.83,4.3
FDL13,Breakfast,Regular,13.85,0.056548,OUT018,2022,Medium,Tier 3,Supermarket Type2,232.73,4.3
FDA37,Canned,Regular,7.81,0.055452,OUT018,2022,Medium,Tier 3,Supermarket Type2,122.6,4.3
FDP13,Canned,Regular,8.1,0.134871,OUT018,2022,Medium,Tier 3,Supermarket Type2,41.95,4.3
FDQ25,Canned,Regular,8.63,0.028392,OUT018,2022,Medium,Tier 3,Supermarket Type2,173.94,4.3
FDE14,Canned,Regular,13.65,0.031573,OUT018,2022,Medium,Tier 3,Supermarket Type2,99.47,4.3
FDA01,Canned,Regular,15.0,0.0546,OUT018,2022,Medium,Tier 3,Supermarket Type2,59.49,4.3
FDW38,Dairy,Regular,5.32,0.139245,OUT018,2022,Medium,Tier 3,Supermarket Type2,53.03,4.3
FDJ03,Dairy,Regular,12.35,0.07269,OUT018,2022,Medium,Tier 3,Supermarket Type2,48.77,4.3
FDK03,Dairy,Regular,12.6,0.074222,OUT018,2022,Medium,Tier 3,Supermarket Type2,255.94,4.3
FDC40,Dairy,Regular,16.0,0.065329,OUT018,2022,Medium,Tier 3,Supermarket Type2,78.5,4.3
FDT26,Dairy,Regular,18.85,0.06823,OUT018,2022,Medium,Tier 3,Supermarket Type2,121.04,4.3
FDM16,Frozen Foods,Regular,8.15,0.033692,OUT018,2022,Medium,Tier 3,Supermarket Type2,76.24,4.3
FDH05,Frozen Foods,Regular,14.35,0.091284,OUT018,2022,Medium,Tier 3,Supermarket Type2,232.7,4.3
FDO31,Fruits and Vegetables,Regular,6.76,0.029101,OUT018,2022,Medium,Tier 3,Supermarket Type2,80.7,4.3
FDN08,Fruits and Vegetables,Regular,7.72,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,117.75,4.3
FDC33,Fruits and Vegetables,Regular,8.96,0.069219,OUT018,2022,Medium,Tier 3,Supermarket Type2,196.58,4.3
FDO08,Fruits and Vegetables,Regular,11.1,0.0,OUT018,2022,Medium,Tier 3,Supermarket Type2,165.55,4.3
